	0
0	33
1	34
2	38
3	50
4	60
5	65
6	66
7	71
8	74
9	84
10	85
11	88
12	91
13	93
14	94
15	99
16	101
17	102
18	104
19	105
20	106
21	115
22	117
23	119
24	123
25	124
26	126
27	135
28	136
29	139
30	147
31	149
32	154
33	155
34	187
35	191
36	194
37	195
38	198
39	200
40	226
41	229
42	233
43	241
44	245
45	246
46	247
47	248
48	249
49	253
50	263
51	265
52	270
53	284
54	294
55	316
56	319
57	322
58	326
59	328
60	330
61	336
62	340
63	346
64	349
65	351
66	353
67	360
68	364
69	365
70	368
71	374
72	383
73	384
74	386
75	389
76	400
77	401
78	402
79	404
80	408
81	412
82	416
83	419
84	473
85	484
86	488
87	492
88	493
89	501
90	504
91	511
92	512
93	513
94	514
95	516
96	536
97	537
98	540
99	544
100	549
101	551
102	576
103	577
104	587
105	603
106	608
107	610
108	611
109	615
110	617
111	618
112	622
113	625
114	630
115	639
116	650
117	657
118	662
119	663
120	682
121	683
122	686
123	697
124	705
125	718
126	722
127	728
128	730
129	732
130	738
131	740
132	743
133	744
134	745
135	746
136	747
137	748
138	749
139	750
140	756
141	757
142	767
143	768
144	774
145	776
146	786
147	789
148	795
149	796
150	798
151	799
152	803
153	806
154	808
155	812
156	828
157	833
158	835
159	836
160	837
161	842
162	843
163	845
164	847
165	856
166	857
167	859
168	862
169	863
170	864
171	867
172	878
173	881
174	890
175	895
176	902
177	905
178	909
179	911
180	912
181	916
182	924
183	925
184	926
185	928
186	930
187	934
188	935
189	940
190	941
191	947
192	952
193	954
194	958
195	964
196	966
197	981
198	989
199	995
200	997
201	1009
202	1019
203	1022
204	1024
205	1027
206	1029
207	1030
208	1035
209	1041
210	1042
211	1046
212	1054
213	1056
214	1057
215	1059
216	1060
217	1061
218	1064
219	1070
220	1081
221	1096
222	1110
223	1113
224	1115
225	1121
226	1126
227	1127
228	1128
229	1131
230	1134
231	1138
232	1140
233	1141
234	1143
235	1146
236	1148
237	1149
238	1153
239	1169
240	1171
241	1175
242	1178
243	1179
244	1186
245	1187
246	1188
247	1191
248	1195
249	1197
250	1198
251	1213
252	1220
253	1221
254	1222
255	1231
256	1238
257	1247
258	1249
259	1253
260	1254
261	1255
262	1257
263	1260
264	1261
265	1265
266	1282
267	1291
268	1294
269	1310
270	1315
271	1321
272	1323
273	1325
274	1330
275	1331
276	1333
277	1337
278	1339
279	1345
280	1354
281	1355
282	1357
283	1364
284	1366
285	1368
286	1376
287	1377
288	1378
289	1379
290	1387
291	1394
292	1395
293	1398
294	1404
295	1406
296	1412
297	1420
298	1425
299	1426
300	1431
301	1432
302	1436
303	1437
304	1439
305	1442
306	1446
307	1449
308	1453
309	1462
310	1464
311	1465
312	1466
313	1467
314	1476
315	1478
316	1482
317	1500
318	1502
319	1503
320	1550
321	1555
322	1562
323	1567
324	1574
325	1578
326	1587
327	1588
328	1591
329	1603
330	1604
331	1605
332	1610
333	1613
334	1622
335	1635
336	1637
337	1639
338	1641
339	1653
340	1656
341	1658
342	1659
343	1662
344	1664
345	1671
346	1672
347	1673
348	1690
349	1698
350	1735
351	1740
352	1742
353	1756
354	1764
355	1770
356	1786
357	1787
358	1793
359	1804
360	1809
361	1810
362	1835
363	1847
364	1849
365	1853
366	1854
367	1869
368	1879
369	1886
370	1887
371	1901
372	1916
373	1918
374	1923
375	1934
376	1955
377	1964
378	1965
379	1978
380	1980
381	1997
382	2003
383	2006
384	2015
385	2016
386	2073
387	2083
388	2084
389	2086
390	2091
391	2100
392	2102
393	2112
394	2117
395	2127
396	2128
397	2130
398	2131
399	2138
400	2148
401	2151
402	2153
403	2154
404	2171
405	2174
406	2179
407	2183
408	2188
409	2192
410	2197
411	2214
412	2215
413	2218
414	2225
415	2236
416	2237
417	2238
418	2241
419	2243
420	2246
421	2248
422	2253
423	2254
424	2281
425	2283
426	2304
427	2335
428	2337
429	2343
430	2345
431	2347
432	2352
433	2356
434	2364
435	2366
436	2368
437	2370
438	2376
439	2393
440	2418
441	2420
442	2425
443	2438
444	2440
445	2443
446	2448
447	2449
448	2455
449	2457
450	2463
451	2465
452	2467
453	2468
454	2475
455	2483
456	2489
457	2496
458	2510
459	2514
460	2528
461	2531
462	2535
463	2536
464	2554
465	2556
466	2561
467	2569
468	2581
469	2582
470	2585
471	2587
472	2596
473	2598
474	2600
475	2603
476	2604
477	2607
478	2609
479	2615
480	2617
481	2625
482	2630
483	2634
484	2635
485	2637
486	2663
487	2670
488	2685
489	2693
490	2703
491	2711
492	2737
493	2748
494	2854
495	2866
496	2867
497	2874
498	2875
499	2879
500	2882
501	2883
502	2910
503	2917
504	2975
505	2985
506	3014
507	3015
508	3017
509	3019
510	3021
511	3024
512	3027
513	3031
514	3034
515	3035
516	3036
517	3037
518	3042
519	3047
520	3049
521	3051
522	3054
523	3058
524	3063
525	3064
526	3069
527	3072
528	3073
529	3074
530	3080
531	3083
532	3084
533	3085
534	3088
535	3091
536	3095
537	3096
538	3104
539	3113
540	3127
541	3129
542	3132
543	3209
544	3214
545	3216
546	3218
547	3219
548	3220
549	3226
550	3231
551	3236
552	3238
553	3242
554	3243
555	3246
556	3252
557	3256
558	3257
559	3259
560	3275
561	3279
562	3281
563	3287
564	3288
565	3290
566	3296
567	3297
568	3302
569	3303
570	3305
571	3312
572	3317
573	3318
574	3319
575	3321
576	3322
577	3324
578	3325
579	3331
580	3338
581	3339
582	3342
583	3346
584	3347
585	3352
586	3356
587	3357
588	3358
589	3360
590	3361
591	3364
592	3366
593	3369
594	3371
595	3373
596	3377
597	3383
598	3385
599	3386
600	3388
601	3397
602	3398
603	3399
604	3400
605	3401
606	3403
607	3459
608	3500
609	3511
610	3518
611	3526
612	3527
613	3531
614	3532
615	3535
616	3541
617	3558
618	3567
619	3568
620	3569
621	3571
622	3574
623	3575
624	3577
625	3580
626	3584
627	3585
628	3591
629	3594
630	3611
631	3613
632	3627
633	3630
634	3634
635	3644
636	3671
637	3672
638	3678
639	3681
640	3702
641	3703
642	3714
643	3720
644	3723
645	3724
646	3728
647	3729
648	3733
649	3736
650	3758
651	3760
652	3762
653	3767
654	3771
655	3774
656	3809
657	3814
658	3819
659	3829
660	3831
661	3846
662	3851
663	3854
664	3856
665	3858
666	3859
667	3862
668	3868
669	3878
670	3879
671	3892
672	3926
673	3930
674	3932
675	3933
676	3942
677	3956
678	3958
679	3962
680	3968
681	3973
682	3981
683	3982
684	3983
685	4001
686	4014
687	4015
688	4028
689	4030
690	4035
691	4036
692	4045
693	4046
694	4050
695	4052
696	4062
697	4075
698	4077
699	4086
700	4108
701	4130
702	4137
703	4139
704	4140
705	4141
706	4157
707	4166
708	4173
709	4185
710	4212
711	4214
712	4215
713	4228
714	4239
715	4249
716	4254
717	4257
718	4268
719	4272
720	4273
721	4282
722	4290
723	4291
724	4294
725	4295
726	4298
727	4310
728	4317
729	4325
730	4344
731	4346
732	4359
733	4362
734	4378
735	4382
736	4384
737	4385
738	4399
739	4405
740	4408
741	4411
742	4426
743	4435
744	4440
745	4445
746	4479
747	4497
748	4498
749	4499
750	4508
751	4512
752	4517
753	4519
754	4525
755	4531
756	4532
757	4542
758	4543
759	4546
760	4549
761	4552
762	4553
763	4563
764	4568
765	4576
766	4584
767	4592
768	4603
769	4613
770	4614
771	4615
772	4619
773	4666
774	4669
775	4670
776	4685
777	4686
778	4696
779	4698
780	4702
781	4706
782	4707
783	4715
784	4716
785	4723
786	4727
787	4730
788	4735
789	4737
790	4740
791	4744
792	4747
793	4757
794	4758
795	4760
796	4765
797	4778
798	4779
799	4788
800	4790
801	4791
802	4795
803	4798
804	4805
805	4812
806	4817
807	4851
808	4854
809	4859
810	4862
811	4866
812	4867
813	4872
814	4879
815	4889
816	4890
817	4896
818	4897
819	4900
820	4901
821	4903
822	4904
823	4922
824	4928
825	4941
826	4942
827	4943
828	4947
829	4965
830	4968
831	4971
832	4972
833	4978
834	5005
835	5009
836	5011
837	5070
838	5072
839	5073
840	5076
841	5101
842	5104
843	5121
844	5124
845	5128
846	5129
847	5134
848	5144
849	5155
850	5156
851	5161
852	5168
853	5178
854	5181
855	5190
856	5215
857	5271
858	5272
859	5280
860	5292
861	5325
862	5327
863	5330
864	5334
865	5335
866	5336
867	5368
868	5372
869	5392
870	5393
871	5394
872	5403
873	5404
874	5405
875	5406
876	5409
877	5416
878	5427
879	5428
880	5434
881	5435
882	5439
883	5447
884	5456
885	5457
886	5464
887	5474
888	5480
889	5486
890	5497
891	5500
892	5524
893	5533
894	5539
895	5552
896	5557
897	5566
898	5580
899	5611
900	5614
901	5617
902	5621
903	5629
904	5634
